,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,,Matches Played,No of Innings Batted,No of Not Outs,No of Runs Scored,Highest Score,Batting Average,No of Balls Faced,Batting Strike Rate,No of 100s Scored,No of 200s Scored,No of 50s Scored,No of fours hit,No of sixes hit
1,ODI,2,2,0,60,59,30.0,46,130.43,0,0,1,8,2
2,T20I,3,3,1,80,56,40.0,55,145.45,0,0,1,6,5
3,IPL,56,51,4,1284,99,27.32,973,131.96,0,0,7,103,66
