,0,1,2,3,4,5,6,7,8,9,10,11,12
0,,Matches Played,No of Innings Bowled,No of Balls Bowled,No of Runs Conceded,Wickets,Best Bowling in Innings,Best Bowling in Match,Economy,Bowling Average,Bowling Strike Rate,Five Wickets in an Innings,Ten Wickets in an Match
1,Test,42,16,383,224,2,1/26,1/35,3.51,112.0,191.5,0,0
2,ODI,227,38,593,515,8,2/27,2/27,5.21,64.38,74.12,0,0
3,T20I,111,9,68,113,1,1/22,1/22,9.97,113.0,68.0,0,0
4,IPL,207,31,338,449,15,4/6,4/6,7.97,29.93,22.53,0,0
