,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,,Matches Played,No of Innings Batted,No of Not Outs,No of Runs Scored,Highest Score,Batting Average,No of Balls Faced,Batting Strike Rate,No of 100s Scored,No of 200s Scored,No of 50s Scored,No of fours hit,No of sixes hit
1,Test,8,10,4,49,16,8.17,68,72.06,0,0,0,5,2
2,ODI,1,-,-,-,-,-,-,-,-,-,-,-,-
3,T20I,3,-,-,-,-,-,-,-,-,-,-,-,-
4,IPL,42,14,10,58,14,14.5,66,87.88,0,0,0,4,2
