,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,,Matches Played,No of Innings Batted,No of Not Outs,No of Runs Scored,Highest Score,Batting Average,No of Balls Faced,Batting Strike Rate,No of 100s Scored,No of 200s Scored,No of 50s Scored,No of fours hit,No of sixes hit
1,Test,48,55,23,359,31,11.22,719,49.93,0,0,0,35,17
2,ODI,75,24,14,79,18,7.9,134,58.96,0,0,0,8,1
3,T20I,7,1,0,2,2,2.0,4,50.0,0,0,0,0,0
4,IPL,121,38,24,122,24,8.71,128,95.31,0,0,0,11,4
