,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,,Matches Played,No of Innings Batted,No of Not Outs,No of Runs Scored,Highest Score,Batting Average,No of Balls Faced,Batting Strike Rate,No of 100s Scored,No of 200s Scored,No of 50s Scored,No of fours hit,No of sixes hit
1,Test,3,4,1,73,67,24.33,136,53.68,0,0,1,9,2
2,ODI,15,8,3,107,30,21.4,74,144.59,0,0,0,9,6
3,T20I,21,5,3,69,22,34.5,35,197.14,0,0,0,5,4
4,IPL,52,11,4,49,15,7.0,43,113.95,0,0,0,5,1
