,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,,Matches Played,No of Innings Batted,No of Not Outs,No of Runs Scored,Highest Score,Batting Average,No of Balls Faced,Batting Strike Rate,No of 100s Scored,No of 200s Scored,No of 50s Scored,No of fours hit,No of sixes hit
1,Test,54,73,22,590,56,11.57,764,77.23,0,0,2,61,21
2,ODI,79,38,17,161,25,7.67,194,82.99,0,0,0,12,7
3,T20I,12,-,-,-,-,-,-,-,-,-,-,-,-
4,IPL,71,22,11,69,21,6.27,73,94.52,0,0,0,5,2
