,0,1,2,3,4,5,6,7,8,9,10,11,12
0,,Matches Played,No of Innings Bowled,No of Balls Bowled,No of Runs Conceded,Wickets,Best Bowling in Innings,Best Bowling in Match,Economy,Bowling Average,Bowling Strike Rate,Five Wickets in an Innings,Ten Wickets in an Match
1,Test,11,19,937,528,17,5/28,6/50,3.38,31.06,55.12,1,0
2,ODI,63,58,2530,2364,57,3/31,3/31,5.61,41.47,44.39,0,0
3,T20I,49,45,815,1111,42,4/38,4/38,8.18,26.45,19.4,0,0
4,IPL,87,60,869,1313,42,3/20,3/20,9.07,31.26,20.69,0,0
