,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,,Matches Played,No of Innings Batted,No of Not Outs,No of Runs Scored,Highest Score,Batting Average,No of Balls Faced,Batting Strike Rate,No of 100s Scored,No of 200s Scored,No of 50s Scored,No of fours hit,No of sixes hit
1,ODI,5,4,2,130,58,65.0,128,101.56,0,0,1,11,2
2,T20I,19,10,5,124,26,24.8,95,130.53,0,0,0,8,6
3,IPL,78,67,20,1100,86,23.4,778,141.39,0,0,1,103,44
