,0,1,2,3,4,5,6,7,8,9,10,11,12
0,,Matches Played,No of Innings Bowled,No of Balls Bowled,No of Runs Conceded,Wickets,Best Bowling in Innings,Best Bowling in Match,Economy,Bowling Average,Bowling Strike Rate,Five Wickets in an Innings,Ten Wickets in an Match
1,ODI,5,5,228,223,2,1/26,1/26,5.87,111.5,114.0,0,0
2,T20I,19,19,410,554,15,4/36,4/36,8.11,36.93,27.33,0,0
3,IPL,78,75,1347,1636,49,3/14,3/14,7.29,33.39,27.49,0,0
