,0,1,2,3,4,5,6,7,8,9,10,11,12
0,,Matches Played,No of Innings Bowled,No of Balls Bowled,No of Runs Conceded,Wickets,Best Bowling in Innings,Best Bowling in Match,Economy,Bowling Average,Bowling Strike Rate,Five Wickets in an Innings,Ten Wickets in an Match
1,Test,7,12,1063,620,26,5/57,6/119,3.5,23.85,40.88,2,0
2,ODI,65,63,3480,3033,107,6/25,6/25,5.23,28.35,32.52,1,0
3,T20I,22,22,489,583,41,5/24,5/24,7.15,14.22,11.93,1,0
4,IPL,45,43,896,1236,40,4/20,4/20,8.28,30.9,22.4,0,0
