,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,,Matches Played,No of Innings Batted,No of Not Outs,No of Runs Scored,Highest Score,Batting Average,No of Balls Faced,Batting Strike Rate,No of 100s Scored,No of 200s Scored,No of 50s Scored,No of fours hit,No of sixes hit
1,Test,4,6,2,265,96,66.25,502,52.79,0,0,3,31,5
2,ODI,1,-,-,-,-,-,-,-,-,-,-,-,-
3,T20I,30,11,4,47,14,6.71,32,146.88,0,0,0,4,3
4,IPL,42,26,11,217,35,14.47,195,111.28,0,0,0,17,6
