,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,,Matches Played,No of Innings Batted,No of Not Outs,No of Runs Scored,Highest Score,Batting Average,No of Balls Faced,Batting Strike Rate,No of 100s Scored,No of 200s Scored,No of 50s Scored,No of fours hit,No of sixes hit
1,ODI,1,1,0,46,46,46.0,46,100.0,0,0,0,5,1
2,T20I,10,10,0,117,27,11.7,106,110.38,0,0,0,5,5
3,IPL,114,110,11,2861,119,28.9,2122,134.83,3,0,13,217,126
