,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,,Matches Played,No of Innings Batted,No of Not Outs,No of Runs Scored,Highest Score,Batting Average,No of Balls Faced,Batting Strike Rate,No of 100s Scored,No of 200s Scored,No of 50s Scored,No of fours hit,No of sixes hit
1,Test,34,58,1,2315,190,40.61,3458,66.95,7,0,5,316,12
2,ODI,145,142,8,6105,143,45.56,6509,93.79,17,0,33,763,72
3,T20I,67,66,3,1759,92,27.92,1392,126.36,0,0,11,191,50
4,IPL,184,183,24,5576,106,35.07,4379,127.34,2,0,44,634,116
