,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,,Matches Played,No of Innings Batted,No of Not Outs,No of Runs Scored,Highest Score,Batting Average,No of Balls Faced,Batting Strike Rate,No of 100s Scored,No of 200s Scored,No of 50s Scored,No of fours hit,No of sixes hit
1,Test,95,160,10,7671,254,51.14,13550,56.61,27,7,26,856,22
2,ODI,254,245,39,12169,183,59.07,13061,93.17,43,0,62,1140,126
3,T20I,89,84,24,3159,94,52.65,2272,139.04,0,0,28,285,90
4,IPL,199,191,31,6076,113,37.98,4659,130.41,5,0,40,524,205
