,0,1,2,3,4,5,6,7,8,9,10,11,12
0,,Matches Played,No of Innings Bowled,No of Balls Bowled,No of Runs Conceded,Wickets,Best Bowling in Innings,Best Bowling in Match,Economy,Bowling Average,Bowling Strike Rate,Five Wickets in an Innings,Ten Wickets in an Match
1,Test,1,2,230,119,3,3/78,3/119,3.1,39.67,76.67,0,0
2,ODI,2,2,120,143,3,2/70,2/70,7.15,47.67,40.0,0,0
3,T20I,4,4,96,122,7,3/30,3/30,7.62,17.43,13.71,0,0
4,IPL,24,24,501,688,20,2/24,2/24,8.24,34.4,25.05,0,0
