,0,1,2,3,4,5,6,7,8,9,10,11,12
0,,Matches Played,No of Innings Bowled,No of Balls Bowled,No of Runs Conceded,Wickets,Best Bowling in Innings,Best Bowling in Match,Economy,Bowling Average,Bowling Strike Rate,Five Wickets in an Innings,Ten Wickets in an Match
1,Test,48,94,7621,4521,148,6/88,10/133,3.56,30.55,51.49,3,1
2,ODI,75,73,3558,3565,106,4/31,4/31,6.01,33.63,33.57,0,0
3,T20I,7,7,150,219,9,2/19,2/19,8.76,24.33,16.67,0,0
4,IPL,121,120,2522,3579,119,4/24,4/24,8.51,30.08,21.19,0,0
