,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,,Matches Played,No of Innings Batted,No of Not Outs,No of Runs Scored,Highest Score,Batting Average,No of Balls Faced,Batting Strike Rate,No of 100s Scored,No of 200s Scored,No of 50s Scored,No of fours hit,No of sixes hit
1,ODI,3,3,1,124,53,62.0,101,122.77,0,0,1,18,0
2,T20I,4,3,0,139,57,46.33,82,169.51,0,0,2,14,7
3,IPL,108,93,19,2197,79,29.69,1624,135.28,0,0,12,243,63
