,0,1,2,3,4,5,6,7,8,9,10,11,12
0,,Matches Played,No of Innings Bowled,No of Balls Bowled,No of Runs Conceded,Wickets,Best Bowling in Innings,Best Bowling in Match,Economy,Bowling Average,Bowling Strike Rate,Five Wickets in an Innings,Ten Wickets in an Match
1,Test,77,-,-,-,-,-,-,-,-,-,-,-
2,ODI,90,-,-,-,-,-,-,-,-,-,-,-
3,T20I,20,-,-,-,-,-,-,-,-,-,-,-
4,IPL,151,1,6,5,1,1/5,1/5,5.0,5.0,6.0,0,0
