,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,,Matches Played,No of Innings Batted,No of Not Outs,No of Runs Scored,Highest Score,Batting Average,No of Balls Faced,Batting Strike Rate,No of 100s Scored,No of 200s Scored,No of 50s Scored,No of fours hit,No of sixes hit
1,Test,42,72,9,2909,212,46.17,5210,55.83,7,1,14,309,62
2,ODI,227,220,32,9205,264,48.96,10354,88.9,29,3,43,832,244
3,T20I,111,103,14,2864,118,32.18,2061,138.96,4,0,22,252,133
4,IPL,207,202,28,5480,109,31.49,4199,130.51,1,0,40,476,224
