,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,,Matches Played,No of Innings Batted,No of Not Outs,No of Runs Scored,Highest Score,Batting Average,No of Balls Faced,Batting Strike Rate,No of 100s Scored,No of 200s Scored,No of 50s Scored,No of fours hit,No of sixes hit
1,Test,11,18,1,532,108,31.29,720,73.89,1,0,4,68,12
2,ODI,63,46,7,1286,92,32.97,1100,116.91,0,0,7,93,54
3,T20I,49,33,8,484,42,19.36,333,145.35,0,0,0,27,30
4,IPL,87,80,29,1401,91,27.47,891,157.24,0,0,4,91,95
