,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,,Matches Played,No of Innings Batted,No of Not Outs,No of Runs Scored,Highest Score,Batting Average,No of Balls Faced,Batting Strike Rate,No of 100s Scored,No of 200s Scored,No of 50s Scored,No of fours hit,No of sixes hit
1,Test,5,9,1,339,134,42.38,394,86.04,1,0,2,48,2
2,ODI,6,6,0,189,49,31.5,166,113.86,0,0,0,32,2
3,T20I,1,1,0,0,0,0.0,1,0.0,0,0,0,0,0
4,IPL,46,46,0,1134,99,24.65,776,146.13,0,0,9,136,39
