,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,,Matches Played,No of Innings Batted,No of Not Outs,No of Runs Scored,Highest Score,Batting Average,No of Balls Faced,Batting Strike Rate,No of 100s Scored,No of 200s Scored,No of 50s Scored,No of fours hit,No of sixes hit
1,Test,12,21,2,624,111,32.84,1466,42.56,1,0,4,83,2
2,IPL,24,23,3,284,46,14.2,321,88.47,0,0,0,23,1
