,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,,Matches Played,No of Innings Batted,No of Not Outs,No of Runs Scored,Highest Score,Batting Average,No of Balls Faced,Batting Strike Rate,No of 100s Scored,No of 200s Scored,No of 50s Scored,No of fours hit,No of sixes hit
1,ODI,1,1,0,13,13,13.0,25,52.0,0,0,0,0,0
2,T20I,5,1,0,5,5,5.0,5,100.0,0,0,0,1,0
3,IPL,38,9,4,31,10,6.2,30,103.33,0,0,0,3,0
