,0,1,2,3,4,5,6,7,8,9,10,11,12
0,,Matches Played,No of Innings Bowled,No of Balls Bowled,No of Runs Conceded,Wickets,Best Bowling in Innings,Best Bowling in Match,Economy,Bowling Average,Bowling Strike Rate,Five Wickets in an Innings,Ten Wickets in an Match
1,T20I,3,3,69,61,2,1/18,1/18,5.3,30.5,34.5,0,0
2,IPL,21,21,498,610,25,5/20,5/20,7.35,24.4,19.92,1,0
