,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,,Matches Played,No of Innings Batted,No of Not Outs,No of Runs Scored,Highest Score,Batting Average,No of Balls Faced,Batting Strike Rate,No of 100s Scored,No of 200s Scored,No of 50s Scored,No of fours hit,No of sixes hit
1,Test,38,52,9,1251,117,29.09,2761,45.31,3,0,5,120,12
2,ODI,9,5,2,41,16,13.67,56,73.21,0,0,0,5,0
3,IPL,126,101,22,1987,115,25.15,1514,131.24,1,0,8,184,65
