,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,,Matches Played,No of Innings Batted,No of Not Outs,No of Runs Scored,Highest Score,Batting Average,No of Balls Faced,Batting Strike Rate,No of 100s Scored,No of 200s Scored,No of 50s Scored,No of fours hit,No of sixes hit
1,Test,77,130,12,4742,188,40.19,9614,49.32,12,0,24,531,32
2,ODI,90,87,3,2962,111,35.26,3767,78.63,3,0,24,293,33
3,T20I,20,20,2,375,61,20.83,331,113.29,0,0,1,32,6
4,IPL,151,141,16,3941,105,31.53,3248,121.34,2,0,28,417,76
