,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,,Matches Played,No of Innings Batted,No of Not Outs,No of Runs Scored,Highest Score,Batting Average,No of Balls Faced,Batting Strike Rate,No of 100s Scored,No of 200s Scored,No of 50s Scored,No of fours hit,No of sixes hit
1,Test,55,80,19,2118,100,34.72,3494,60.62,1,0,16,207,52
2,ODI,168,113,39,2411,87,32.58,2769,87.07,0,0,13,178,49
3,T20I,50,24,10,217,44,15.5,193,112.44,0,0,0,12,6
4,IPL,191,145,59,2290,62,26.63,1787,128.15,0,0,2,168,82
