,0,1,2,3,4,5,6,7,8,9,10,11,12
0,,Matches Played,No of Innings Bowled,No of Balls Bowled,No of Runs Conceded,Wickets,Best Bowling in Innings,Best Bowling in Match,Economy,Bowling Average,Bowling Strike Rate,Five Wickets in an Innings,Ten Wickets in an Match
1,Test,79,148,21670,10144,413,7/59,13/140,2.81,24.56,52.47,30,7
2,ODI,111,109,6021,4937,150,4/25,4/25,4.92,32.91,40.14,0,0
3,T20I,46,46,1026,1193,52,4/8,4/8,6.98,22.94,19.73,0,0
4,IPL,159,156,3344,3847,139,4/34,4/34,6.9,27.68,24.06,0,0
