,0,1,2,3,4,5,6,7,8,9,10,11,12
0,,Matches Played,No of Innings Bowled,No of Balls Bowled,No of Runs Conceded,Wickets,Best Bowling in Innings,Best Bowling in Match,Economy,Bowling Average,Bowling Strike Rate,Five Wickets in an Innings,Ten Wickets in an Match
1,Test,8,15,1567,796,29,5/73,8/126,3.05,27.45,54.03,1,0
2,ODI,1,1,60,76,0,0/76,0/76,7.6,0.0,0.0,0,0
3,T20I,3,3,72,148,3,1/45,1/45,12.33,49.33,24.0,0,0
4,IPL,42,42,872,1275,45,4/32,4/32,8.77,28.33,19.38,0,0
