,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,,Matches Played,No of Innings Batted,No of Not Outs,No of Runs Scored,Highest Score,Batting Average,No of Balls Faced,Batting Strike Rate,No of 100s Scored,No of 200s Scored,No of 50s Scored,No of fours hit,No of sixes hit
1,ODI,22,20,1,813,103,42.79,810,100.37,1,0,8,81,17
2,T20I,28,26,7,550,67,28.95,411,133.82,0,0,3,44,22
3,IPL,79,79,9,2200,96,31.43,1745,126.07,0,0,16,189,83
