,0,1,2,3,4,5,6,7,8,9,10,11,12
0,,Matches Played,No of Innings Bowled,No of Balls Bowled,No of Runs Conceded,Wickets,Best Bowling in Innings,Best Bowling in Match,Economy,Bowling Average,Bowling Strike Rate,Five Wickets in an Innings,Ten Wickets in an Match
1,Test,14,-,-,-,-,-,-,-,-,-,-,-
2,ODI,5,1,6,10,0,0/10,0/10,10.0,0.0,0.0,0,0
3,IPL,95,-,-,-,-,-,-,-,-,-,-,-
