,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,,Matches Played,No of Innings Batted,No of Not Outs,No of Runs Scored,Highest Score,Batting Average,No of Balls Faced,Batting Strike Rate,No of 100s Scored,No of 200s Scored,No of 50s Scored,No of fours hit,No of sixes hit
1,ODI,5,3,2,87,69,87.0,104,83.65,0,0,1,8,1
2,T20I,14,4,4,1,1,0.0,1,100.0,0,0,0,0,0
3,IPL,55,11,4,78,39,11.14,56,139.29,0,0,0,2,6
