,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,,Matches Played,No of Innings Batted,No of Not Outs,No of Runs Scored,Highest Score,Batting Average,No of Balls Faced,Batting Strike Rate,No of 100s Scored,No of 200s Scored,No of 50s Scored,No of fours hit,No of sixes hit
1,Test,7,8,0,54,26,6.75,185,29.19,0,0,0,6,0
2,ODI,65,21,12,118,19,13.11,188,62.77,0,0,0,10,0
3,T20I,22,3,2,43,23,43.0,48,89.58,0,0,0,2,0
4,IPL,45,11,5,57,16,9.5,75,76.0,0,0,0,5,0
