,0,1,2,3,4,5,6,7,8,9,10,11,12
0,,Matches Played,No of Innings Bowled,No of Balls Bowled,No of Runs Conceded,Wickets,Best Bowling in Innings,Best Bowling in Match,Economy,Bowling Average,Bowling Strike Rate,Five Wickets in an Innings,Ten Wickets in an Match
1,Test,3,5,424,242,11,4/61,7/155,3.42,22.0,38.55,0,0
2,ODI,15,15,723,818,22,4/52,4/52,6.79,37.18,32.86,0,0
3,T20I,21,21,455,691,31,4/27,4/27,9.11,22.29,14.68,0,0
4,IPL,52,51,1056,1607,51,3/19,3/19,9.13,31.51,20.71,0,0
