,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,,Matches Played,No of Innings Batted,No of Not Outs,No of Runs Scored,Highest Score,Batting Average,No of Balls Faced,Batting Strike Rate,No of 100s Scored,No of 200s Scored,No of 50s Scored,No of fours hit,No of sixes hit
1,Test,24,40,3,1490,159,40.27,2150,69.3,3,0,6,159,34
2,ODI,18,16,0,529,78,33.06,463,114.25,0,0,3,48,21
3,T20I,32,29,5,512,65,21.33,415,123.37,0,0,2,39,21
4,IPL,76,76,11,2292,128,35.26,1530,149.8,1,0,14,208,107
