,0,1,2,3,4,5,6,7,8,9,10,11,12
0,,Matches Played,No of Innings Bowled,No of Balls Bowled,No of Runs Conceded,Wickets,Best Bowling in Innings,Best Bowling in Match,Economy,Bowling Average,Bowling Strike Rate,Five Wickets in an Innings,Ten Wickets in an Match
1,Test,34,5,54,18,0,0/0,0/0,2.0,0.0,0.0,0,0
2,ODI,145,-,-,-,-,-,-,-,-,-,-,-
3,T20I,67,-,-,-,-,-,-,-,-,-,-,-
4,IPL,184,6,48,66,4,1/7,1/7,8.25,16.5,12.0,0,0
