,0,1,2,3,4,5,6,7,8,9,10,11,12
0,,Matches Played,No of Innings Bowled,No of Balls Bowled,No of Runs Conceded,Wickets,Best Bowling in Innings,Best Bowling in Match,Economy,Bowling Average,Bowling Strike Rate,Five Wickets in an Innings,Ten Wickets in an Match
1,Test,95,11,175,84,0,0/0,0/0,2.88,0.0,0.0,0,0
2,ODI,254,48,641,665,4,1/15,1/15,6.22,166.25,160.25,0,0
3,T20I,89,12,146,198,4,1/13,1/13,8.14,49.5,36.5,0,0
4,IPL,199,26,251,368,4,2/25,2/25,8.8,92.0,62.75,0,0
