,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,,Matches Played,No of Innings Batted,No of Not Outs,No of Runs Scored,Highest Score,Batting Average,No of Balls Faced,Batting Strike Rate,No of 100s Scored,No of 200s Scored,No of 50s Scored,No of fours hit,No of sixes hit
1,Test,79,111,14,2685,124,27.68,4994,53.76,5,0,11,307,16
2,ODI,111,61,19,675,65,16.07,776,86.98,0,0,1,59,6
3,T20I,46,11,7,123,31,30.75,115,106.96,0,0,0,14,1
4,IPL,159,59,20,419,45,10.74,377,111.14,0,0,0,36,11
