,0,1,2,3,4,5,6,7,8,9,10,11,12
0,,Matches Played,No of Innings Bowled,No of Balls Bowled,No of Runs Conceded,Wickets,Best Bowling in Innings,Best Bowling in Match,Economy,Bowling Average,Bowling Strike Rate,Five Wickets in an Innings,Ten Wickets in an Match
1,ODI,1,1,60,54,3,3/54,3/54,5.4,18.0,20.0,0,0
2,T20I,5,5,108,137,7,3/15,3/15,7.61,19.57,15.43,0,0
3,IPL,38,37,810,1001,41,4/27,4/27,7.41,24.41,19.76,0,0
