,0,1,2,3,4,5,6,7,8,9,10,11,12
0,,Matches Played,No of Innings Bowled,No of Balls Bowled,No of Runs Conceded,Wickets,Best Bowling in Innings,Best Bowling in Match,Economy,Bowling Average,Bowling Strike Rate,Five Wickets in an Innings,Ten Wickets in an Match
1,ODI,5,5,216,219,6,2/37,2/37,6.08,36.5,36.0,0,0
2,T20I,14,14,305,386,20,6/7,6/7,7.59,19.3,15.25,1,0
3,IPL,55,55,1144,1464,53,4/13,4/13,7.68,27.62,21.58,0,0
