,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,,Matches Played,No of Innings Batted,No of Not Outs,No of Runs Scored,Highest Score,Batting Average,No of Balls Faced,Batting Strike Rate,No of 100s Scored,No of 200s Scored,No of 50s Scored,No of fours hit,No of sixes hit
1,Test,8,15,2,414,91,31.85,741,55.87,0,0,3,54,5
2,ODI,3,3,0,49,33,16.33,71,69.01,0,0,0,5,1
3,IPL,48,45,10,1071,76,30.6,862,124.25,0,0,7,101,29
