,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,,Matches Played,No of Innings Batted,No of Not Outs,No of Runs Scored,Highest Score,Batting Average,No of Balls Faced,Batting Strike Rate,No of 100s Scored,No of 200s Scored,No of 50s Scored,No of fours hit,No of sixes hit
1,Test,89,150,9,6429,206,45.6,14494,44.36,18,3,30,763,14
2,ODI,5,5,0,51,27,10.2,130,39.23,0,0,0,4,0
3,IPL,30,22,3,390,51,20.53,391,99.74,0,0,1,50,4
