,0,1,2,3,4,5,6,7,8,9,10,11,12
0,,Matches Played,No of Innings Bowled,No of Balls Bowled,No of Runs Conceded,Wickets,Best Bowling in Innings,Best Bowling in Match,Economy,Bowling Average,Bowling Strike Rate,Five Wickets in an Innings,Ten Wickets in an Match
1,Test,23,44,4943,2208,97,6/27,9/86,2.68,22.76,50.96,6,0
2,ODI,67,67,3523,2736,108,5/27,5/27,4.66,25.33,32.62,1,0
3,T20I,49,49,1075,1195,59,3/11,3/11,6.67,20.25,18.22,0,0
4,IPL,99,99,2254,2779,115,4/14,4/14,7.4,24.17,19.6,0,0
