,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,,Matches Played,No of Innings Batted,No of Not Outs,No of Runs Scored,Highest Score,Batting Average,No of Balls Faced,Batting Strike Rate,No of 100s Scored,No of 200s Scored,No of 50s Scored,No of fours hit,No of sixes hit
1,Test,14,23,0,1052,243,45.74,1931,54.48,3,2,4,123,23
2,ODI,5,5,0,86,32,17.2,83,103.61,0,0,0,12,1
3,IPL,95,90,4,1954,106,22.72,1443,135.41,1,0,9,186,78
