,0,1,2,3,4,5,6,7,8,9,10,11,12
0,,Matches Played,No of Innings Bowled,No of Balls Bowled,No of Runs Conceded,Wickets,Best Bowling in Innings,Best Bowling in Match,Economy,Bowling Average,Bowling Strike Rate,Five Wickets in an Innings,Ten Wickets in an Match
1,ODI,56,55,3013,2613,97,6/42,6/42,5.2,26.94,31.06,2,0
2,T20I,49,49,1149,1594,63,6/25,6/25,8.32,25.3,18.24,1,0
3,IPL,106,105,2268,2913,125,4/25,4/25,7.71,23.3,18.14,0,0
